Rank,Release Group,Worldwide,Domestic,%,Foreign,%,Year
1,Dune: Part Two,"$697,757,968","$277,757,968",39.8%,"$420,000,000",60.2%,2024
2,Godzilla x Kong: The New Empire,"$489,580,032","$174,480,032",35.6%,"$315,100,000",64.4%,2024
3,Kung Fu Panda 4,"$482,850,846","$181,449,090",37.6%,"$301,401,756",62.4%,2024
4,Ghostbusters: Frozen Empire,"$177,549,359","$104,137,915",58.7%,"$73,411,444",41.3%,2024
5,Bob Marley: One Love,"$177,193,170","$96,893,170",54.7%,"$80,300,000",45.3%,2024
6,The Beekeeper,"$152,720,535","$66,220,535",43.4%,"$86,500,000",56.6%,2024
7,Mean Girls,"$104,404,248","$72,404,248",69.3%,"$32,000,000",30.7%,2024
8,Madame Web,"$100,298,817","$43,817,106",43.7%,"$56,481,711",56.3%,2024
9,Argylle,"$96,170,413","$45,207,275",47%,"$50,963,138",53%,2024
10,Exhuma,"$95,019,488","$2,148,446",2.3%,"$92,871,042",97.7%,2024
11,Civil War,"$64,583,706","$49,190,895",76.2%,"$15,392,811",23.8%,2024
12,Haikyuu!! The Dumpster Battle,"$64,265,198",-,-,"$64,265,198",100%,2024
13,Night Swim,"$54,075,969","$32,494,740",60.1%,"$21,581,229",39.9%,2024
14,The First Omen,"$45,886,035","$18,548,646",40.4%,"$27,337,389",59.6%,2024
15,Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,"$44,327,701","$17,657,658",39.8%,"$26,670,043",60.2%,2024
16,Detective Conan: The Million-Dollar Pentagram,"$42,144,197",-,-,"$42,144,197",100%,2024
17,Imaginary,"$38,994,631","$28,009,161",71.8%,"$10,985,470",28.2%,2024
18,Arthur the King,"$31,396,885","$24,617,172",78.4%,"$6,779,713",21.6%,2024
19,Monkey Man,"$29,912,230","$22,766,990",76.1%,"$7,145,240",23.9%,2024
20,Mobile Suit Gundam Seed Freedom,"$29,554,743",-,-,"$29,554,743",100%,2024
21,A Strange House,"$26,682,809",-,-,"$26,682,809",100%,2024
22,The Master and Margarita,"$26,152,311",-,-,"$26,152,311",100%,2024
23,Doraemon the Movie: Nobita's Earth Symphony,"$25,281,429",-,-,"$25,281,429",100%,2024
24,Wicked Little Letters,"$22,212,236","$3,779,260",17%,"$18,432,976",83%,2024
25,Chantal in Fairyland,"$22,140,760",-,-,"$22,140,760",100%,2024
26,Immaculate,"$21,891,238","$15,632,025",71.4%,"$6,259,213",28.6%,2024
27,Mai,"$21,714,524",-,-,"$21,714,524",100%,2024
28,Autumn and the Black Jaguar,"$21,392,778",-,-,"$21,392,778",100%,2024
29,Lyod 3,"$20,615,744",-,-,"$20,615,744",100%,2024
30,Cabrini,"$20,157,935","$19,413,718",96.3%,"$744,217",3.7%,2024
31,Ordinary Angels,"$19,454,580","$19,174,421",98.6%,"$280,159",1.4%,2024
32,Golden Kamuy,"$19,077,748",-,-,"$19,077,748",100%,2024
33,Abigail,"$18,395,249","$13,537,755",73.6%,"$4,857,494",26.4%,2024
34,Cocorico,"$17,266,172",-,-,"$17,266,172",100%,2024
35,Back to Black,"$15,958,095",-,-,"$15,958,095",100%,2024
36,Kleks Academy,"$15,348,026",-,-,"$15,348,026",100%,2024
37,The Chosen: S4 Episodes 1-3,"$14,799,620","$14,409,169",97.4%,"$390,451",2.6%,2024
38,Citizen of a Kind,"$12,494,455",-,-,"$12,494,455",100%,2024
39,The Ministry of Ungentlemanly Warfare,"$12,055,998","$11,588,667",96.1%,"$467,331",3.9%,2024
40,Maison de retraite 2,"$11,196,943",-,-,"$11,196,943",100%,2024
41,Eine Million Minuten,"$11,077,140",-,-,"$11,077,140",100%,2024
42,Article 370,"$11,073,822","$980,649",8.9%,"$10,093,173",91.1%,2024
43,Letuchiy korabl,"$10,834,343",-,-,"$10,834,343",100%,2024
44,Late Night with the Devil,"$10,789,125","$9,740,464",90.3%,"$1,048,661",9.7%,2024
45,Alienoid: The Return to the Future,"$10,693,858","$60,720",0.6%,"$10,633,138",99.4%,2024
46,Cat and Dog,"$10,624,242",-,-,"$10,624,242",100%,2024
47,Lisa Frankenstein,"$9,927,714","$9,774,285",98.5%,"$153,429",1.5%,2024
48,The Chosen: S4 Episodes 4-6,"$9,482,744","$9,482,744",100%,-,-,2024
49,Love Lies Bleeding,"$8,770,948","$7,830,385",89.3%,"$940,563",10.7%,2024
50,Lohusa,"$8,701,733",-,-,"$8,701,733",100%,2024
51,Onegin,"$8,481,968",-,-,"$8,481,968",100%,2024
52,The Birth of Korea,"$8,050,507",-,-,"$8,050,507",100%,2024
53,The Chosen: S4 Episodes 7-8,"$7,753,589","$7,729,152",99.7%,"$24,437",0.3%,2024
54,Kolpaçino 4 4'lük,"$7,445,372",-,-,"$7,445,372",100%,2024
55,Yolo,"$7,040,094","$2,001,584",28.4%,"$5,038,510",71.6%,2024
56,Drive-Away Dolls,"$6,826,057","$5,028,215",73.7%,"$1,797,842",26.3%,2024
57,Troll Factory,"$6,671,112",-,-,"$6,671,112",100%,2024
58,"April, Come She Will","$6,660,318",-,-,"$6,660,318",100%,2024
59,I.S.S.,"$6,573,799","$6,573,799",100%,-,-,2024
60,Land of Bad,"$6,532,018","$4,620,045",70.7%,"$1,911,973",29.3%,2024
61,Un mondo a parte,"$6,463,642",-,-,"$6,463,642",100%,2024
62,Baghead,"$6,422,416",-,-,"$6,422,416",100%,2024
63,The Book of Clarence,"$6,177,661","$6,132,813",99.3%,"$44,848",0.7%,2024
64,SUGA: Agust D Tour 'D-DAY' the Movie,"$6,014,116","$1,951,896",32.5%,"$4,062,220",67.5%,2024
65,Someone Like You,"$5,805,631","$5,805,631",100%,-,-,2024
66,Air,"$5,468,936",-,-,"$5,468,936",100%,2024
67,Matching,"$5,348,492",-,-,"$5,348,492",100%,2024
68,Force of Nature: The Dry 2,"$5,346,224",-,-,"$5,346,224",100%,2024
69,The Goat Life,"$5,080,618","$625,000",12.3%,"$4,455,618",87.7%,2024
70,Table for Six 2,"$4,871,447",-,-,"$4,871,447",100%,2024
71,Anweshippin Kandethum,"$4,459,155",-,-,"$4,459,155",100%,2024
72,Sami Swoi. Poczatek,"$4,433,525",-,-,"$4,433,525",100%,2024
73,El Roomie,"$4,418,253",-,-,"$4,418,253",100%,2024
74,No Way Up,"$4,370,625","$148,582",3.4%,"$4,222,043",96.6%,2024
75,I soliti idioti 3: Il ritorno,"$4,174,340",-,-,"$4,174,340",100%,2024
76,Ducobu passe au vert!,"$4,168,090",-,-,"$4,168,090",100%,2024
77,Dune 2024 Re-release,"$3,995,610",-,-,"$3,995,610",100%,2024
78,Crew,"$3,893,163","$1,500,000",38.5%,"$2,393,163",61.5%,2024
79,La familia Benetón,"$3,881,074",-,-,"$3,881,074",100%,2024
80,Fighter,"$3,800,771","$1,000,000",26.3%,"$2,800,771",73.7%,2024
81,Manjummel Boys,"$3,784,106",-,-,"$3,784,106",100%,2024
82,Gap Lai Chi Bau,"$3,749,297",-,-,"$3,749,297",100%,2024
83,Daaaaaali!,"$3,696,469",-,-,"$3,696,469",100%,2024
84,Breaking Point,"$3,532,131",-,-,"$3,532,131",100%,2024
85,The Moon Thieves,"$3,522,654",-,-,"$3,522,654",100%,2024
86,3391 Kilometres,"$3,506,051",-,-,"$3,506,051",100%,2024
87,Peppa's Cinema Party,"$3,473,576",-,-,"$3,473,576",100%,2024
88,Pare parecchio Parigi,"$3,445,925",-,-,"$3,445,925",100%,2024
89,Konets Slavy,"$3,387,736",-,-,"$3,387,736",100%,2024
90,Guest from the Future,"$3,387,564",-,-,"$3,387,564",100%,2024
91,Lovesick Ellie,"$3,365,139",-,-,"$3,365,139",100%,2024
92,"Baby boom, or Eggnog 5","$3,236,512",-,-,"$3,236,512",100%,2024
93,Shrek 2 2024 Re-release,"$3,201,695","$3,201,695",100%,-,-,2024
94,Lucky Winners,"$3,184,504",-,-,"$3,184,504",100%,2024
95,2024 Oscar Nominated Short Films: Documentary,"$3,162,293","$3,162,293",100%,-,-,2024
96,Boléro,"$3,117,851",-,-,"$3,117,851",100%,2024
97,Budda. Dzieciak '98,"$3,085,668",-,-,"$3,085,668",100%,2024
98,Verliefd op Bali,"$3,069,304",-,-,"$3,069,304",100%,2024
99,Blue Lock: Episode Nagi,"$3,000,311",-,-,"$3,000,311",100%,2024
100,Maria Montessori,"$2,925,359",-,-,"$2,925,359",100%,2024
101,Kensuke's Kingdom,"$2,919,215",-,-,"$2,919,215",100%,2024
102,Aavesham,"$2,838,735",-,-,"$2,838,735",100%,2024
103,Noah's Ark,"$2,835,565",-,-,"$2,835,565",100%,2024
104,The Good Teacher,"$2,766,648",-,-,"$2,766,648",100%,2024
105,Silent Love,"$2,739,320",-,-,"$2,739,320",100%,2024
106,Rob N Roll,"$2,739,036",-,-,"$2,739,036",100%,2024
107,Noche De Bodas,"$2,734,739",-,-,"$2,734,739",100%,2024
108,Detective Conan vs. Kid the Phantom Thief,"$2,727,664",-,-,"$2,727,664",100%,2024
109,Too Old for Fairy Tales 2,"$2,704,435",-,-,"$2,704,435",100%,2024
110,All the Long Nights,"$2,689,624",-,-,"$2,689,624",100%,2024
111,Dog Days,"$2,658,318",-,-,"$2,658,318",100%,2024
112,Operation Portugal 2 - La vie de chateau,"$2,569,348",-,-,"$2,569,348",100%,2024
113,The Long Game,"$2,550,176","$2,550,176",100%,-,-,2024
114,Queen Rock Montreal,"$2,537,304","$2,000,000",78.8%,"$537,304",21.2%,2024
115,Meet the Leroys,"$2,526,302",-,-,"$2,526,302",100%,2024
116,We 12,"$2,491,117",-,-,"$2,491,117",100%,2024
117,The American Society of Magical Negroes,"$2,480,645","$2,480,645",100%,-,-,2024
118,Coppers,"$2,462,266",-,-,"$2,462,266",100%,2024
