,Release Group,Worldwide,Domestic,Foreign,Year
0,Dune: Part Two,697757968.0,277757968.0,420000000.0,2024
1,Godzilla x Kong: The New Empire,489580032.0,174480032.0,315100000.0,2024
2,Kung Fu Panda 4,482850846.0,181449090.0,301401756.0,2024
3,Ghostbusters: Frozen Empire,177549359.0,104137915.0,73411444.0,2024
4,Bob Marley: One Love,177193170.0,96893170.0,80300000.0,2024
5,The Beekeeper,152720535.0,66220535.0,86500000.0,2024
6,Mean Girls,104404248.0,72404248.0,32000000.0,2024
7,Madame Web,100298817.0,43817106.0,56481711.0,2024
8,Argylle,96170413.0,45207275.0,50963138.0,2024
9,Exhuma,95019488.0,2148446.0,92871042.0,2024
10,Civil War,64583706.0,49190895.0,15392811.0,2024
11,Haikyuu!! The Dumpster Battle,64265198.0,0.0,64265198.0,2024
12,Night Swim,54075969.0,32494740.0,21581229.0,2024
13,The First Omen,45886035.0,18548646.0,27337389.0,2024
14,Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,44327701.0,17657658.0,26670043.0,2024
15,Detective Conan: The Million-Dollar Pentagram,42144197.0,0.0,42144197.0,2024
16,Imaginary,38994631.0,28009161.0,10985470.0,2024
17,Arthur the King,31396885.0,24617172.0,6779713.0,2024
18,Monkey Man,29912230.0,22766990.0,7145240.0,2024
19,Mobile Suit Gundam Seed Freedom,29554743.0,0.0,29554743.0,2024
20,A Strange House,26682809.0,0.0,26682809.0,2024
21,The Master and Margarita,26152311.0,0.0,26152311.0,2024
22,Doraemon the Movie: Nobita's Earth Symphony,25281429.0,0.0,25281429.0,2024
23,Wicked Little Letters,22212236.0,3779260.0,18432976.0,2024
24,Chantal in Fairyland,22140760.0,0.0,22140760.0,2024
25,Immaculate,21891238.0,15632025.0,6259213.0,2024
26,Mai,21714524.0,0.0,21714524.0,2024
27,Autumn and the Black Jaguar,21392778.0,0.0,21392778.0,2024
28,Lyod 3,20615744.0,0.0,20615744.0,2024
29,Cabrini,20157935.0,19413718.0,744217.0,2024
30,Ordinary Angels,19454580.0,19174421.0,280159.0,2024
31,Golden Kamuy,19077748.0,0.0,19077748.0,2024
32,Abigail,18395249.0,13537755.0,4857494.0,2024
33,Cocorico,17266172.0,0.0,17266172.0,2024
34,Back to Black,15958095.0,0.0,15958095.0,2024
35,Kleks Academy,15348026.0,0.0,15348026.0,2024
36,The Chosen: S4 Episodes 1-3,14799620.0,14409169.0,390451.0,2024
37,Citizen of a Kind,12494455.0,0.0,12494455.0,2024
38,The Ministry of Ungentlemanly Warfare,12055998.0,11588667.0,467331.0,2024
39,Maison de retraite 2,11196943.0,0.0,11196943.0,2024
40,Eine Million Minuten,11077140.0,0.0,11077140.0,2024
41,Article 370,11073822.0,980649.0,10093173.0,2024
42,Letuchiy korabl,10834343.0,0.0,10834343.0,2024
43,Late Night with the Devil,10789125.0,9740464.0,1048661.0,2024
44,Alienoid: The Return to the Future,10693858.0,60720.0,10633138.0,2024
45,Cat and Dog,10624242.0,0.0,10624242.0,2024
46,Lisa Frankenstein,9927714.0,9774285.0,153429.0,2024
47,The Chosen: S4 Episodes 4-6,9482744.0,9482744.0,0.0,2024
48,Love Lies Bleeding,8770948.0,7830385.0,940563.0,2024
49,Lohusa,8701733.0,0.0,8701733.0,2024
50,Onegin,8481968.0,0.0,8481968.0,2024
51,The Birth of Korea,8050507.0,0.0,8050507.0,2024
52,The Chosen: S4 Episodes 7-8,7753589.0,7729152.0,24437.0,2024
53,Kolpaçino 4 4'lük,7445372.0,0.0,7445372.0,2024
54,Yolo,7040094.0,2001584.0,5038510.0,2024
55,Drive-Away Dolls,6826057.0,5028215.0,1797842.0,2024
56,Troll Factory,6671112.0,0.0,6671112.0,2024
57,"April, Come She Will",6660318.0,0.0,6660318.0,2024
58,I.S.S.,6573799.0,6573799.0,0.0,2024
59,Land of Bad,6532018.0,4620045.0,1911973.0,2024
60,Un mondo a parte,6463642.0,0.0,6463642.0,2024
61,Baghead,6422416.0,0.0,6422416.0,2024
62,The Book of Clarence,6177661.0,6132813.0,44848.0,2024
63,SUGA: Agust D Tour 'D-DAY' the Movie,6014116.0,1951896.0,4062220.0,2024
64,Someone Like You,5805631.0,5805631.0,0.0,2024
65,Air,5468936.0,0.0,5468936.0,2024
66,Matching,5348492.0,0.0,5348492.0,2024
67,Force of Nature: The Dry 2,5346224.0,0.0,5346224.0,2024
68,The Goat Life,5080618.0,625000.0,4455618.0,2024
69,Table for Six 2,4871447.0,0.0,4871447.0,2024
70,Anweshippin Kandethum,4459155.0,0.0,4459155.0,2024
71,Sami Swoi. Poczatek,4433525.0,0.0,4433525.0,2024
72,El Roomie,4418253.0,0.0,4418253.0,2024
73,No Way Up,4370625.0,148582.0,4222043.0,2024
74,I soliti idioti 3: Il ritorno,4174340.0,0.0,4174340.0,2024
75,Ducobu passe au vert!,4168090.0,0.0,4168090.0,2024
76,Dune 2024 Re-release,3995610.0,0.0,3995610.0,2024
77,Crew,3893163.0,1500000.0,2393163.0,2024
78,La familia Benetón,3881074.0,0.0,3881074.0,2024
79,Fighter,3800771.0,1000000.0,2800771.0,2024
80,Manjummel Boys,3784106.0,0.0,3784106.0,2024
81,Gap Lai Chi Bau,3749297.0,0.0,3749297.0,2024
82,Daaaaaali!,3696469.0,0.0,3696469.0,2024
83,Breaking Point,3532131.0,0.0,3532131.0,2024
84,The Moon Thieves,3522654.0,0.0,3522654.0,2024
85,3391 Kilometres,3506051.0,0.0,3506051.0,2024
86,Peppa's Cinema Party,3473576.0,0.0,3473576.0,2024
87,Pare parecchio Parigi,3445925.0,0.0,3445925.0,2024
88,Konets Slavy,3387736.0,0.0,3387736.0,2024
89,Guest from the Future,3387564.0,0.0,3387564.0,2024
90,Lovesick Ellie,3365139.0,0.0,3365139.0,2024
91,"Baby boom, or Eggnog 5",3236512.0,0.0,3236512.0,2024
92,Shrek 2 2024 Re-release,3201695.0,3201695.0,0.0,2024
93,Lucky Winners,3184504.0,0.0,3184504.0,2024
94,2024 Oscar Nominated Short Films: Documentary,3162293.0,3162293.0,0.0,2024
95,Boléro,3117851.0,0.0,3117851.0,2024
96,Budda. Dzieciak '98,3085668.0,0.0,3085668.0,2024
97,Verliefd op Bali,3069304.0,0.0,3069304.0,2024
98,Blue Lock: Episode Nagi,3000311.0,0.0,3000311.0,2024
99,Maria Montessori,2925359.0,0.0,2925359.0,2024
100,Kensuke's Kingdom,2919215.0,0.0,2919215.0,2024
101,Aavesham,2838735.0,0.0,2838735.0,2024
102,Noah's Ark,2835565.0,0.0,2835565.0,2024
103,The Good Teacher,2766648.0,0.0,2766648.0,2024
104,Silent Love,2739320.0,0.0,2739320.0,2024
105,Rob N Roll,2739036.0,0.0,2739036.0,2024
106,Noche De Bodas,2734739.0,0.0,2734739.0,2024
107,Detective Conan vs. Kid the Phantom Thief,2727664.0,0.0,2727664.0,2024
108,Too Old for Fairy Tales 2,2704435.0,0.0,2704435.0,2024
109,All the Long Nights,2689624.0,0.0,2689624.0,2024
110,Dog Days,2658318.0,0.0,2658318.0,2024
111,Operation Portugal 2 - La vie de chateau,2569348.0,0.0,2569348.0,2024
112,The Long Game,2550176.0,2550176.0,0.0,2024
113,Queen Rock Montreal,2537304.0,2000000.0,537304.0,2024
114,Meet the Leroys,2526302.0,0.0,2526302.0,2024
115,We 12,2491117.0,0.0,2491117.0,2024
116,The American Society of Magical Negroes,2480645.0,2480645.0,0.0,2024
117,Coppers,2462266.0,0.0,2462266.0,2024
118,National Theatre Live: Vanya,2453069.0,0.0,2453069.0,2024
119,50 km/h,2448552.0,0.0,2448552.0,2024
120,Bade Miyan Chote Miyan,2443911.0,689505.0,1754406.0,2024
121,Kral Sakir: Devler Uyandi,2433892.0,0.0,2433892.0,2024
122,14 jours pour aller mieux,2357682.0,0.0,2357682.0,2024
123,Premalu,2342985.0,0.0,2342985.0,2024
124,Tati Part Time,2332477.0,0.0,2332477.0,2024
125,White Bird,2326201.0,0.0,2326201.0,2024
126,Bonnard: Pierre & Marthe,2311172.0,0.0,2311172.0,2024
127,The Green Deal,2269386.0,0.0,2269386.0,2024
128,Picnic,2256981.0,0.0,2256981.0,2024
129,Atatürk 1881 - 1919 Film 2 Release,2256587.0,0.0,2256587.0,2024
130,Tillu Square,2246550.0,1870000.0,376550.0,2024
131,It's Raining Men,2211183.0,0.0,2211183.0,2024
132,Varshangalkku Shesham,2158590.0,0.0,2158590.0,2024
133,Don't Lose Your Head!,2113320.0,0.0,2113320.0,2024
134,Todas menos tú,2110306.0,0.0,2110306.0,2024
135,Columbia 100th Anniversary Series Columbia 100th Anniversary Series,2108352.0,2108352.0,0.0,2024
136,The Ark and the Darkness,2097560.0,2097560.0,0.0,2024
137,Race for Glory: Audi vs. Lancia,2083383.0,0.0,2083383.0,2024
138,Homeward,2072695.0,0.0,2072695.0,2024
139,Aristokratka ve varu,2035808.0,0.0,2035808.0,2024
140,Out of Darkness,1987281.0,1951547.0,35734.0,2024
141,Nedelja,1905017.0,0.0,1905017.0,2024
142,Salle des profs,1855403.0,0.0,1855403.0,2024
143,YA - medved,1842294.0,0.0,1842294.0,2024
144,Et plus si affinités,1836556.0,0.0,1836556.0,2024
145,Un altro Ferragosto,1816797.0,0.0,1816797.0,2024
146,Love You as the World Ends: Episode #4.5,1814466.0,0.0,1814466.0,2024
147,Komandir,1808588.0,0.0,1808588.0,2024
148,Valle de sombras,1805813.0,0.0,1805813.0,2024
149,Adam & Eve,1752038.0,0.0,1752038.0,2024
150,El correo,1751343.0,0.0,1751343.0,2024
151,Kardes Takimi,1748615.0,0.0,1748615.0,2024
152,La ferme des Bertrand,1719910.0,0.0,1719910.0,2024
153,Teri Baaton Mein Aisa Uljha Jiya,1699722.0,0.0,1699722.0,2024
154,Dead Man,1689878.0,0.0,1689878.0,2024
155,Like a Prince,1681549.0,0.0,1681549.0,2024
156,Onmyoji Zero,1651827.0,0.0,1651827.0,2024
157,Madame de Sévigné,1640410.0,0.0,1640410.0,2024
158,I Did It My Way,1628896.0,198405.0,1430491.0,2024
159,Mothers' Instinct,1606319.0,0.0,1606319.0,2024
160,A Silence,1562685.0,0.0,1562685.0,2024
161,18×2 Beyond Youthful Days,1556999.0,0.0,1556999.0,2024
162,Romeo è Giulietta,1555180.0,0.0,1555180.0,2024
163,Dune IMAX,1550188.0,570000.0,980188.0,2024
164,The Promised Land,1511719.0,257749.0,1253970.0,2024
165,Let's Go Karaoke!,1510372.0,0.0,1510372.0,2024
166,Shaitaan,1501788.0,0.0,1501788.0,2024
167,National Theatre Live: Dear England,1485050.0,0.0,1485050.0,2024
168,Off-Season,1481675.0,0.0,1481675.0,2024
169,Matka v trapu,1477538.0,0.0,1477538.0,2024
170,Sleeping Dogs,1458885.0,0.0,1458885.0,2024
171,Firebrand,1439516.0,0.0,1439516.0,2024
172,Miller's Girl,1431190.0,0.0,1431190.0,2024
173,Pozyvnoy «Passazhir»,1405286.0,0.0,1405286.0,2024
174,Karaoké,1404406.0,0.0,1404406.0,2024
175,Irklais per Atlanta,1394826.0,0.0,1394826.0,2024
176,Bramayugam,1388375.0,0.0,1388375.0,2024
177,Sladky zivot,1377407.0,0.0,1377407.0,2024
178,White Courage,1373237.0,0.0,1373237.0,2024
179,Les chèvres!,1317742.0,0.0,1317742.0,2024
180,National Theatre Live: The Motive and the Cue,1312531.0,0.0,1312531.0,2024
181,Neon Genesis Evangelion: The End of Evangelion,1302300.0,1302300.0,0.0,2024
182,A Nice Jewish Boy,1267653.0,0.0,1267653.0,2024
183,Making Of,1261221.0,0.0,1261221.0,2024
184,Color of Victory,1260020.0,0.0,1260020.0,2024
185,Enea,1241570.0,0.0,1241570.0,2024
186,Unknown Title,1222901.0,0.0,1222901.0,2024
187,Dieci minuti,1147973.0,0.0,1147973.0,2024
188,Políticamente incorrectos,1142279.0,0.0,1142279.0,2024
189,Ibelin,1124687.0,0.0,1124687.0,2024
190,This is My Mother,1113611.0,0.0,1113611.0,2024
191,Sting,1090798.0,1090798.0,0.0,2024
192,Vojna policajtov,1087016.0,0.0,1087016.0,2024
193,Fuks 2,1078203.0,0.0,1078203.0,2024
194,Operation Valentine,1076193.0,0.0,1076193.0,2024
195,Beautiful Wedding,1073495.0,0.0,1073495.0,2024
196,Giants of la Mancha,1032571.0,0.0,1032571.0,2024
197,Menudas piezas,1022720.0,0.0,1022720.0,2024
198,Amelia's Children,1015828.0,11073.0,1004755.0,2024
199,Tainted Soul,1007804.0,0.0,1007804.0,2024
200,Barbie,1445638421.0,636238421.0,809400000.0,2023
201,The Super Mario Bros. Movie,1362029918.0,574934330.0,787095588.0,2023
202,Oppenheimer,971612566.0,329862540.0,641750026.0,2023
203,Guardians of the Galaxy Vol. 3,845555777.0,358995815.0,486559962.0,2023
204,Fast X,704875015.0,146126015.0,558749000.0,2023
205,Spider-Man: Across the Spider-Verse,690615475.0,381311319.0,309304156.0,2023
206,Wonka,632302312.0,218402312.0,413900000.0,2023
207,The Little Mermaid,569626289.0,298172056.0,271454233.0,2023
208,Mission: Impossible - Dead Reckoning Part One,567535383.0,172135383.0,395400000.0,2023
209,Elemental,496444308.0,154426697.0,342017611.0,2023
210,Ant-Man and the Wasp: Quantumania,476071180.0,214504909.0,261566271.0,2023
211,John Wick: Chapter 4,440157245.0,187131806.0,253025439.0,2023
212,Transformers: Rise of the Beasts,438966392.0,157066392.0,281900000.0,2023
213,Aquaman and the Lost Kingdom,434381226.0,124481226.0,309900000.0,2023
214,Meg 2: The Trench,397700317.0,82600317.0,315100000.0,2023
215,Indiana Jones and the Dial of Destiny,383963057.0,174480468.0,209482589.0,2023
216,The Hunger Games: The Ballad of Songbirds & Snakes,337371917.0,166350594.0,171021323.0,2023
217,Migration,296703996.0,127306285.0,169397711.0,2023
218,Five Nights at Freddy's,291493620.0,137275620.0,154218000.0,2023
219,Creed III,276148615.0,156248615.0,119900000.0,2023
220,The Flash,271333313.0,108133313.0,163200000.0,2023
221,The Nun II,269467073.0,86267073.0,183200000.0,2023
222,Taylor Swift: The Eras Tour,261656269.0,180756269.0,80900000.0,2023
223,Wish,254946568.0,63973821.0,190972747.0,2023
224,Sound of Freedom,250570396.0,184178046.0,66392350.0,2023
225,Napoleon,221037970.0,61524375.0,159513595.0,2023
226,Anyone But You,219164410.0,88319668.0,130844742.0,2023
227,Trolls Band Together,209303232.0,102996915.0,106306317.0,2023
228,Dungeons & Dragons: Honor Among Thieves,208177026.0,93277026.0,114900000.0,2023
229,The Marvels,206136557.0,84500223.0,121636334.0,2023
230,PAW Patrol: The Mighty Movie,202231360.0,65231360.0,137000000.0,2023
231,The Equalizer 3,191067560.0,92373751.0,98693809.0,2023
232,Insidious: The Red Door,189086877.0,82156962.0,106929915.0,2023
233,Teenage Mutant Ninja Turtles: Mutant Mayhem,180513586.0,118613586.0,61900000.0,2023
234,The Boy and the Heron,173294573.0,46798641.0,126495932.0,2023
235,Scream VI,168961389.0,108161389.0,60800000.0,2023
236,Killers of the Flower Moon,157026901.0,68026901.0,89000000.0,2023
237,Evil Dead Rise,147033054.0,67233054.0,79800000.0,2023
238,The Exorcist: Believer,136284218.0,65537395.0,70746823.0,2023
239,Shazam! Fury of the Gods,134038006.0,57638006.0,76400000.0,2023
240,Blue Beetle,130788072.0,72488072.0,58300000.0,2023
241,A Haunting in Venice,122290456.0,42471412.0,79819044.0,2023
242,Gran Turismo,122101055.0,44428554.0,77672501.0,2023
243,Haunted Mansion,117449790.0,67653287.0,49796503.0,2023
244,Poor Things,117193959.0,34553225.0,82640734.0,2023
245,Godzilla Minus One,115857413.0,56418793.0,59438620.0,2023
246,Pathaan,112583450.0,17487476.0,95095974.0,2023
247,Saw X,111823047.0,53607898.0,58215149.0,2023
248,Detective Conan: Black Iron Submarine,106771806.0,0.0,106771806.0,2023
249,The Creator,104272136.0,40774679.0,63497457.0,2023
250,12.12: The Day,97476565.0,0.0,97476565.0,2023
251,Animal,92870227.0,15004482.0,77865745.0,2023
252,Talk to Me,92181735.0,48299436.0,43882299.0,2023
253,Air,90060106.0,52460106.0,37600000.0,2023
254,Cocaine Bear,88314672.0,64670240.0,23644432.0,2023
