Domestic Opening,Name,Domestic Distributor,Earliest Release Date,MPAA,Running Time,Genres,Overview,Actors,Film makers
"$32,500,000",Spy Kids 3: Game Over,Dimension Films,"July 25, 2003 (Domestic)",PG,1 hr 24 min,,"Carmen's caught in a virtual reality game designed by the Kids' new nemesis, the Toymaker. It's up to Juni to save his sister, and ultimately the world.","['Daryl Sabara', 'Alexa PenaVega', 'Antonio Banderas', 'Carla Gugino']","['Robert Rodriguez', 'Robert Rodriguez', 'Elizabeth Avellan', 'Robert Rodriguez', 'Robert Rodriguez', 'Robert Rodriguez', 'Robert Rodriguez', 'Robert Rodriguez']"
"$42,220,847",Anger Management,Revolution Studios,"April 11, 2003 (Domestic)",PG-13,1 hr 46 min,,"Dave Buznik is a businessman who is wrongly sentenced to an anger management program, where he meets an aggressive instructor.","['Jack Nicholson', 'Adam Sandler', 'Marisa Tomei', 'Luis Guzmán']","['Peter Segal', 'David Dorfman', 'Barry Bernardi', 'Jack Giarraputo', 'Teddy Castellucci', 'Donald McAlpine', 'Jeff Gourson', 'Alan Au']"
"$27,557,647",Cheaper by the Dozen,Twentieth Century Fox,"December 25, 2003 (Domestic)",PG,1 hr 38 min,,"With his wife on a book tour, Tom Baker finds his life turned upside down when he agrees to care for his twelve children while simultaneously also coaching his new football team.","['Steve Martin', 'Bonnie Hunt', 'Hilary Duff', 'Piper Perabo']","['Shawn Levy', 'Frank B. Gilbreth Jr.', 'Ernestine Gilbreth Carey', 'Craig Titley', 'Sam Harper', 'Joel Cohen', 'Alec Sokolow', 'Michael Barnathan', 'Ben Myron', 'Robert Simonds', 'Christophe Beck', 'Jonathan Brown', 'George Folsey Jr.', 'Nina Ruscio']"
"$24,278,410",The Haunted Mansion,Walt Disney Studios Motion Pictures,"November 26, 2003 (Domestic)",PG,1 hr 39 min,,"A realtor and his wife and children are summoned to a mansion, which they soon discover is haunted, and while they attempt to escape, he learns an important lesson about the family he has neglected.","['Eddie Murphy', 'Marsha Thomason', 'Jennifer Tilly', 'Terence Stamp']","['Rob Minkoff', 'David Berenbaum', 'Andrew Gunn', 'Don Hahn', 'Mark Mancina', 'Remi Adefarasin', 'Priscilla Nedd-Friendly', 'John Myhre']"
"$22,200,000",Kill Bill: Vol. 1,Miramax,"October 9, 2003 (Czech Republic)",R,1 hr 51 min,,"After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.","['Uma Thurman', 'David Carradine', 'Daryl Hannah', 'Michael Madsen']","['Quentin Tarantino', 'Quentin Tarantino', 'Quentin Tarantino', 'Uma Thurman', 'Lawrence Bender', 'RZA', 'Robert Richardson', 'Sally Menke', 'Yôhei Taneda', 'David Wasco']"
"$23,075,892",The League of Extraordinary Gentlemen,Twentieth Century Fox,"July 11, 2003 (Domestic)",PG-13,1 hr 50 min,,"In an alternate Victorian Age world, a group of famous contemporary fantasy, science fiction, and adventure characters team up on a secret mission.","['Sean Connery', 'Stuart Townsend', 'Peta Wilson', 'Jason Flemyng']","['Stephen Norrington', 'Alan Moore', ""Kevin O'Neill"", 'James Robinson', 'Trevor Albert', 'Don Murphy', 'Trevor Jones', 'Dan Laustsen', 'Paul Rubell', 'Carol Spier']"
"$40,310,419",Daredevil,Twentieth Century Fox,"February 14, 2003 (Domestic, EMEA)",PG-13,1 hr 43 min,,A man blinded by toxic waste which also enhanced his remaining senses fights crime as an acrobatic martial arts superhero.,"['Ben Affleck', 'Jennifer Garner', 'Colin Farrell', 'Michael Clarke Duncan']","['Mark Steven Johnson', 'Mark Steven Johnson', 'Avi Arad', 'Gary Foster', 'Arnon Milchan', 'Graeme Revell', 'Ericson Core', 'Armen Minasian', 'Dennis Virkler', 'Barry Chusid']"
"$23,774,850",How to Lose a Guy in 10 Days,Paramount Pictures,"February 7, 2003 (Domestic)",PG-13,1 hr 56 min,Comedy Romance,"Benjamin Barry is an advertising executive and ladies' man who, to win a big campaign, bets that he can make a woman fall in love with him in 10 days.","['Kate Hudson', 'Matthew McConaughey', 'Adam Goldberg', 'Kathryn Hahn']","['Donald Petrie', 'Michele Alexander', 'Jeannie Long', 'Kristen Buckley', 'Brian Regan', 'Burr Steers', 'Robert Evans', 'Lynda Obst', 'Christine Peters', 'David Newman', 'John Bailey', 'Debra Neil-Fisher', 'Thérèse DePrez']"
"$19,457,944",The Italian Job,Paramount Pictures,"May 30, 2003 (Domestic)",PG-13,1 hr 51 min,,"After being betrayed and left for dead in Italy, Charlie Croker and his team plan an elaborate gold heist against their former ally.","['Donald Sutherland', 'Mark Wahlberg', 'Edward Norton', 'Charlize Theron']","['F. Gary Gray', 'Troy Kennedy Martin', 'Donna Powers', 'Wayne Powers', 'Donald De Line', 'John Powell', 'Wally Pfister', 'Richard Francis-Bruce', 'Christopher Rouse', 'Charles Wood']"
"$14,500,000",Cold Mountain,Miramax,"December 25, 2003 (Domestic)",R,2 hr 34 min,,"In the waning days of the American Civil War, a wounded soldier embarks on a perilous journey back home to Cold Mountain, North Carolina to reunite with his sweetheart.","['Jude Law', 'Nicole Kidman', 'Renée Zellweger', 'Eileen Atkins']","['Anthony Minghella', 'Charles Frazier', 'Anthony Minghella', 'Albert Berger', 'William Horberg', 'Sydney Pollack', 'Ron Yerxa', 'Gabriel Yared', 'John Seale', 'Walter Murch', 'Dante Ferretti']"
