Domestic Opening,Name,Domestic Distributor,Earliest Release Date,MPAA,Running Time,Genres,Overview,Actors,Film makers
"$357,115,007",Avengers: Endgame,Walt Disney Studios Motion Pictures,"April 24, 2019 (21 markets)",PG-13,3 hr 1 min,,"After the devastating events of Avengers: Infinity War, the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.","['Robert Downey Jr.', 'Chris Evans', 'Mark Ruffalo', 'Chris Hemsworth']","['Anthony Russo', 'Joe Russo', 'Christopher Markus', 'Stephen McFeely', 'Stan Lee', 'Jack Kirby', 'Joe Simon', 'Jack Kirby', 'Steve Englehart', 'Steve Gan', 'Bill Mantlo', 'Keith Giffen', 'Jim Starlin', 'Stan Lee', 'Larry Lieber', 'Jack Kirby', 'Steve Englehart', 'Don Heck', 'Kevin Feige', 'Alan Silvestri', 'Trent Opaloch', 'Jeffrey Ford', 'Matthew Schmidt', 'Charles Wood']"
"$191,770,759",The Lion King,Walt Disney Studios Motion Pictures,"July 11, 2019 (Australia)",PG,1 hr 58 min,,"After the murder of his father, a young lion prince flees his kingdom only to learn the true meaning of responsibility and bravery.","['Donald Glover', 'Beyoncé', 'Seth Rogen', 'Chiwetel Ejiofor']","['Jon Favreau', 'Jeff Nathanson', 'Irene Mecchi', 'Jonathan Roberts', 'Linda Woolverton', 'Jon Favreau', 'Karen Gilchrist', 'Jeffrey Silver', 'Hans Zimmer', 'Caleb Deschanel', 'Adam Gerstel', 'Mark Livolsi', 'James Chinlund']"
"$130,263,358",Frozen II,Walt Disney Studios Motion Pictures,"November 20, 2019 (APAC, EMEA)",PG,1 hr 43 min,,"Anna, Elsa, Kristoff, Olaf and Sven leave Arendelle to travel to an ancient, autumn-bound forest of an enchanted land. They set out to find the origin of Elsa's powers in order to save their kingdom.","['Kristen Bell', 'Idina Menzel', 'Josh Gad', 'Jonathan Groff']","['Chris Buck', 'Jennifer Lee', 'Jennifer Lee', 'Hans Christian Andersen', 'Jennifer Lee', 'Chris Buck', 'Marc Smith', 'Kristen Anderson-Lopez', 'Robert Lopez', 'Allison Schroeder', 'Peter Del Vecho', 'Christophe Beck', 'Jeff Draheim', 'Michael Giaimo', 'Lisa Keene']"
"$92,579,212",Spider-Man: Far from Home,Sony Pictures Releasing,"June 28, 2019 (China, APAC)",PG-13,2 hr 9 min,,"Following the events of Avengers: Endgame, Spider-Man must step up to take on new threats in a world that has changed forever.","['Tom Holland', 'Samuel L. Jackson', 'Jake Gyllenhaal', 'Marisa Tomei']","['Jon Watts', 'Chris McKenna', 'Erik Sommers', 'Stan Lee', 'Steve Ditko', 'Joe Simon', 'Jack Kirby', 'Kevin Feige', 'Amy Pascal', 'Michael Giacchino', 'Matthew J. Lloyd', 'Leigh Folsom Boyd', 'Dan Lebental', 'Claude Paré']"
"$153,433,423",Captain Marvel,Walt Disney Studios Motion Pictures,"March 6, 2019 (EMEA, APAC)",PG-13,2 hr 3 min,,Carol Danvers becomes one of the universe's most powerful heroes when Earth is caught in the middle of a galactic war between two alien races.,"['Brie Larson', 'Samuel L. Jackson', 'Ben Mendelsohn', 'Jude Law']","['Anna Boden', 'Ryan Fleck', 'Anna Boden', 'Ryan Fleck', 'Geneva Robertson-Dworet', 'Nicole Perlman', 'Meg LeFauve', 'Anna Boden', 'Ryan Fleck', 'Geneva Robertson-Dworet', 'Kevin Feige', 'Pinar Toprak', 'Ben Davis', 'Debbie Berman', 'Elliot Graham', 'Andy Nicholson']"
"$96,202,337",Joker,Warner Bros.,"October 2, 2019 (APAC, LATAM)",R,2 hr 2 min,,"During the 1980s, a failed stand-up comedian is driven insane and turns to a life of crime and chaos in Gotham City while becoming an infamous psychopathic crime figure.","['Joaquin Phoenix', 'Robert De Niro', 'Zazie Beetz', 'Frances Conroy']","['Todd Phillips', 'Todd Phillips', 'Scott Silver', 'Bob Kane', 'Bill Finger', 'Jerry Robinson', 'Bradley Cooper', 'Todd Phillips', 'Emma Tillinger Koskoff', 'Hildur Guðnadóttir', 'Lawrence Sher', 'Jeff Groth', 'Mark Friedberg']"
"$177,383,864",Star Wars: Episode IX - The Rise of Skywalker,Walt Disney Studios Motion Pictures,"December 18, 2019 (13 markets)",PG-13,2 hr 21 min,,The surviving Resistance faces the First Order once again in the conclusion of the Skywalker saga.,"['Daisy Ridley', 'John Boyega', 'Oscar Isaac', 'Adam Driver']","['J.J. Abrams', 'Chris Terrio', 'J.J. Abrams', 'Derek Connolly', 'Colin Trevorrow', 'J.J. Abrams', 'Chris Terrio', 'George Lucas', 'J.J. Abrams', 'Kathleen Kennedy', 'Michelle Rejwan', 'John Williams', 'Dan Mindel', 'Maryann Brandon', 'Stefan Grube', 'Rick Carter', 'Kevin Jenkins']"
"$120,908,065",Toy Story 4,Walt Disney Studios Motion Pictures,"June 20, 2019 (24 markets)",G,1 hr 40 min,,"When a new toy called ""Forky"" joins Woody and the gang, a road trip alongside old and new friends reveals how big the world can be for a toy.","['Tom Hanks', 'Tim Allen', 'Annie Potts', 'Tony Hale']","['Josh Cooley', 'John Lasseter', 'Andrew Stanton', 'Josh Cooley', 'Valerie LaPointe', 'Rashida Jones', 'Will McCormack', 'Martin Hynes', 'Stephany Folsom', 'Andrew Stanton', 'Stephany Folsom', 'Mark Nielsen', 'Jonas Rivera', 'Galyn Susman', 'Randy Newman', 'Jean-Claude Kalache', 'Patrick Lin', 'Axel Geddes', 'Bob Pauley']"
"$91,500,929",Aladdin,Walt Disney Studios Motion Pictures,"May 22, 2019 (APAC, EMEA)",PG,2 hr 8 min,,"Aladdin, a kind thief, woos Jasmine, the princess of Agrabah, with the help of Genie. When Jafar, the grand vizier, tries to usurp the king, Jasmine, Aladdin and Genie must stop him from succeeding.","['Will Smith', 'Mena Massoud', 'Naomi Scott', 'Marwan Kenzari']","['Guy Ritchie', 'John August', 'Guy Ritchie', 'Jonathan Eirich', 'Dan Lin', 'Alan Menken', 'Alan Stewart', 'James Herbert', 'Gemma Jackson']"
"$59,251,543",Jumanji: The Next Level,Sony Pictures Releasing,"December 4, 2019 (EMEA, APAC)",PG-13,2 hr 3 min,,"In Jumanji: The Next Level, the gang is back but the game has changed. As they return to rescue one of their own, the players will have to brave parts unknown from arid deserts to snowy mountains, to escape the world's most dangerous game.","['Dwayne Johnson', 'Jack Black', 'Kevin Hart', 'Karen Gillan']","['Jake Kasdan', 'Jake Kasdan', 'Jeff Pinkner', 'Scott Rosenberg', 'Chris Van Allsburg', 'Dany Garcia', 'Hiram Garcia', 'Dwayne Johnson', 'Jake Kasdan', 'Matt Tolmach', 'Henry Jackman', 'Gyula Pados', 'Steve Edwards', 'Mark Helfrich', 'Tara Timpone', 'Bill Brzeski']"
