Domestic Opening,Name,Domestic Distributor,Earliest Release Date,MPAA,Running Time,Genres,Overview,Actors,Film makers
"$30,436,123",John Wick: Chapter 2,Lionsgate Films,"February 8, 2017 (APAC, EMEA)",R,2 hr 2 min,Action Crime Thriller,"After returning to the criminal underworld to repay a debt, John Wick discovers that a large bounty has been put on his life.","['Keanu Reeves', 'Riccardo Scamarcio', 'Ian McShane', 'Ruby Rose']","['Chad Stahelski', 'Derek Kolstad', 'Derek Kolstad', 'Basil Iwanyk', 'Erica Lee', 'Tyler Bates', 'Joel J. Richard', 'Dan Laustsen', 'Evan Schiff', 'Kevin Kavanaugh']"
"$18,676,033",Ghost in the Shell,Paramount Pictures,"March 29, 2017 (APAC, EMEA)",PG-13,1 hr 47 min,,"In the near future, Major Mira Killian is the first of her kind: A human saved from a terrible crash, who is cyber-enhanced to be a perfect soldier devoted to stopping the world's most dangerous criminals.","['Scarlett Johansson', 'Pilou Asbæk', 'Takeshi Kitano', 'Juliette Binoche']","['Rupert Sanders', 'Shirow Masamune', 'Jamie Moss', 'William Wheeler', 'Ehren Kruger', 'Ari Arad', 'Avi Arad', 'Michael Costigan', 'Steven Paul', 'Lorne Balfe', 'Clint Mansell', 'Jess Hall', 'Billy Rich', 'Neil Smith', 'Jan Roelfs']"
"$322,168","Three Billboards Outside Ebbing, Missouri",Fox Searchlight,"November 10, 2017 (Domestic)",R,1 hr 55 min,Comedy Crime Drama,A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.,"['Frances McDormand', 'Woody Harrelson', 'Sam Rockwell', 'Caleb Landry Jones']","['Martin McDonagh', 'Martin McDonagh', 'Graham Broadbent', 'Peter Czernin', 'Martin McDonagh', 'Carter Burwell', 'Ben Davis', 'Jon Gregory', 'Inbal Weinberg']"
"$160,739",Duckweed,China Lion Film Distribution,"January 28, 2017 (China)",,1 hr 42 min,Comedy Drama Fantasy,"In the near-death after an accident, a sports car driver time-travelled back to the 1990s to meet his severe father and never-seen mother in a small Chinese town.","['Chao Deng', 'Eddie Peng', 'Zanilia Zhao', 'Zijian Dong']","['Han Han', 'Han Han', 'Fei Peng', 'Chengma Zhiyuan']"
"$175,006",Darkest Hour,Focus Features,"November 22, 2017 (Domestic)",PG-13,2 hr 5 min,Drama War,"In May 1940, the fate of World War II hangs on Winston Churchill, who must decide whether to negotiate with Adolf Hitler, or fight on knowing that it could mean the end of the British Empire.","['Gary Oldman', 'Lily James', 'Kristin Scott Thomas', 'Ben Mendelsohn']","['Joe Wright', 'Anthony McCarten', 'Tim Bevan', 'Lisa Bruce', 'Eric Fellner', 'Anthony McCarten', 'Douglas Urbanski', 'Dario Marianelli', 'Bruno Delbonnel', 'Valerio Bonelli', 'Sarah Greenwood']"
"$15,371,270",King Arthur: Legend of the Sword,Warner Bros.,"May 9, 2017 (Indonesia)",PG-13,2 hr 6 min,,"Robbed of his birthright, Arthur comes up the hard way in the back alleys of the city. But once he pulls the sword from the stone, he is forced to acknowledge his true legacy - whether he likes it or not.","['Charlie Hunnam', 'Astrid Bergès-Frisbey', 'Jude Law', 'Djimon Hounsou']","['Guy Ritchie', 'Joby Harold', 'Guy Ritchie', 'Lionel Wigram', 'David Dobkin', 'Joby Harold', 'Steve Clark-Hall', 'Akiva Goldsman', 'Joby Harold', 'Guy Ritchie', 'Tory Tunnell', 'Lionel Wigram', 'Daniel Pemberton', 'John Mathieson', 'James Herbert', 'Gemma Jackson']"
"$13,113,024",The Foreigner,STX Entertainment,"September 30, 2017 (APAC, China)",R,1 hr 53 min,,"A humble businessman with a buried past seeks justice when his daughter is killed in an act of terrorism. A cat-and-mouse conflict ensues with a government official, whose past may hold clues to the killers' identities.","['Katie Leung', 'Jackie Chan', 'Rufus Jones', 'Mark Tandy']","['Martin Campbell', 'David Marconi', 'Stephen Leather', 'Jackie Chan', 'Wayne Marc Godfrey', 'Claire Kupchak', 'D. Scott Lumpkin', 'Jamie Marshall', 'Jianhong Qi', 'Arthur Sarkissian', 'Cathy Schulman', 'John Zeng', 'Cliff Martinez', 'David Tattersall', 'Angela M. Catanzaro', 'Alex Cameron']"
"$40,300,288",Power Rangers,Lionsgate Films,"March 22, 2017 (APAC, EMEA)",PG-13,2 hr 4 min,,"When Earth is on the verge of an alien invasion, five teenagers, who are infused with superhuman abilities, must harness their newfound powers to battle this threat - as the Power Rangers.","['Dacre Montgomery', 'Naomi Scott', 'RJ Cyler', 'Ludi Lin']","['Dean Israelite', 'John Gatins', 'Matt Sazama', 'Burk Sharpless', 'Michele Mulroney', 'Kieran Mulroney', 'Haim Saban', 'Saburo Yatsude', 'Shotaro Ishinomori', 'Shuki Levy', 'Marty Bowen', 'Brian Casentini', 'Wyck Godfrey', 'Haim Saban', 'Brian Tyler', 'Matthew J. Lloyd', 'Martin Bernfeld', 'Dody Dorn', 'Andrew Menzies']"
"$31,201,920",Girls Trip,Universal Pictures,"July 21, 2017 (Domestic)",R,2 hr 2 min,,"When four lifelong friends travel to New Orleans for the annual Essence Festival, sisterhoods are rekindled, wild sides are rediscovered, and there's enough dancing, drinking, brawling and romancing to make the Big Easy blush.","['Regina Hall', 'Queen Latifah', 'Jada Pinkett Smith', 'Tiffany Haddish']","['Malcolm D. Lee', 'Erica Rivinoja', 'Kenya Barris', 'Tracy Oliver', 'Kenya Barris', 'Tracy Oliver', 'Malcolm D. Lee', 'Will Packer', 'David Newman', 'Greg Gardiner', 'Paul Millspaugh', 'Keith Brian Burns']"
"$16,776,390",American Made,Universal Pictures,"August 23, 2017 (Egypt)",R,1 hr 55 min,,"The story of Barry Seal, an American pilot who became a drug-runner for the CIA in the 1980s in a clandestine operation that would be exposed as the Iran-Contra Affair.","['Tom Cruise', 'Domhnall Gleeson', 'Sarah Wright', 'Jesse Plemons']","['Doug Liman', 'Gary Spinelli', 'Ray Angelic', 'Doug Davison', 'Brian Grazer', 'Brian Oliver', 'Kim Roth', 'Tyler Thompson', 'Christophe Beck', 'César Charlone', 'Andrew Mondshein', 'Dan Weil']"
