Rank,Release Group,Worldwide,Domestic,%,Foreign,%,Year
1,Transformers: Age of Extinction,"$1,104,054,072","$245,439,076",22.2%,"$858,614,996",77.8%,2014
2,The Hobbit: The Battle of the Five Armies,"$956,019,788","$255,119,788",26.7%,"$700,900,000",73.3%,2014
3,Guardians of the Galaxy,"$772,776,600","$333,176,600",43.1%,"$439,600,000",56.9%,2014
4,Maleficent,"$758,410,378","$241,410,378",31.8%,"$517,000,000",68.2%,2014
5,The Hunger Games: Mockingjay - Part 1,"$755,356,711","$337,135,885",44.6%,"$418,220,826",55.4%,2014
6,X-Men: Days of Future Past,"$746,045,700","$233,921,534",31.4%,"$512,124,166",68.6%,2014
7,Captain America: The Winter Soldier,"$714,421,503","$259,766,572",36.4%,"$454,654,931",63.6%,2014
8,Dawn of the Planet of the Apes,"$710,644,566","$208,545,589",29.3%,"$502,098,977",70.7%,2014
9,The Amazing Spider-Man 2,"$708,982,323","$202,853,933",28.6%,"$506,128,390",71.4%,2014
10,Interstellar,"$681,070,397","$188,020,017",27.6%,"$493,050,380",72.4%,2014
11,Big Hero 6,"$657,827,828","$222,527,828",33.8%,"$435,300,000",66.2%,2014
12,How to Train Your Dragon 2,"$621,537,519","$177,002,924",28.5%,"$444,534,595",71.5%,2014
13,American Sniper,"$547,626,372","$350,126,372",63.9%,"$197,500,000",36.1%,2014
14,Godzilla,"$524,976,069","$200,676,069",38.2%,"$324,300,000",61.8%,2014
15,Rio 2,"$498,781,117","$131,538,435",26.4%,"$367,242,682",73.6%,2014
16,Teenage Mutant Ninja Turtles,"$485,004,754","$191,204,754",39.4%,"$293,800,000",60.6%,2014
17,The Lego Movie,"$468,060,692","$257,760,692",55.1%,"$210,300,000",44.9%,2014
18,Lucy,"$458,863,600","$126,663,600",27.6%,"$332,200,000",72.4%,2014
19,Penguins of Madagascar,"$373,515,621","$83,850,911",22.4%,"$289,664,710",77.6%,2014
20,Edge of Tomorrow,"$370,541,256","$100,206,256",27%,"$270,335,000",73%,2014
21,Gone Girl,"$369,330,363","$167,767,189",45.4%,"$201,563,174",54.6%,2014
22,Night at the Museum: Secret of the Tomb,"$363,204,635","$113,746,621",31.3%,"$249,458,014",68.7%,2014
23,Noah,"$359,200,044","$101,200,044",28.2%,"$258,000,000",71.8%,2014
24,The Maze Runner,"$348,319,861","$102,427,862",29.4%,"$245,891,999",70.6%,2014
25,300: Rise of an Empire,"$337,580,051","$106,580,051",31.6%,"$231,000,000",68.4%,2014
26,22 Jump Street,"$331,333,876","$191,719,337",57.9%,"$139,614,539",42.1%,2014
27,The Fault in Our Stars,"$307,166,834","$124,872,350",40.7%,"$182,294,484",59.3%,2014
28,Divergent,"$288,885,818","$150,947,895",52.3%,"$137,937,923",47.7%,2014
29,Paddington,"$282,370,135","$76,271,832",27%,"$206,098,303",73%,2014
30,Mr. Peabody & Sherman,"$275,698,039","$111,506,430",40.4%,"$164,191,609",59.6%,2014
31,Neighbors,"$270,665,134","$150,157,400",55.5%,"$120,507,734",44.5%,2014
